time,Downwelling Shortwave Irradiance (W m-2)
2017-08-21 10:24:13.784000000,2.2
2017-08-21 10:25:18.015000576,2.2
2017-08-21 10:26:22.541999616,2.2
2017-08-21 10:26:54.656000000,2.3
2017-08-21 10:27:59.192000000,2.3
2017-08-21 10:29:03.428999680,2.3
2017-08-21 10:30:08.687000064,2.3
2017-08-21 10:31:13.062999552,2.4
2017-08-21 10:32:17.712000000,2.5
2017-08-21 10:33:24.677000192,2.5
2017-08-21 10:33:56.960000000,2.5
2017-08-21 10:35:01.305999872,2.6
2017-08-21 10:36:07.092999680,2.6
2017-08-21 10:37:11.462000128,2.6
2017-08-21 10:38:16.397000192,2.6
2017-08-21 10:39:20.654999552,2.7
2017-08-21 10:39:54.467999744,2.7
2017-08-21 10:40:58.816000000,2.9
2017-08-21 10:42:03.951000064,3.0
2017-08-21 10:43:08.397999616,3.0
2017-08-21 10:44:12.657999872,3.0
2017-08-21 10:45:17.152000000,3.0
2017-08-21 10:46:21.859000320,2.9
2017-08-21 10:46:54.465999872,3.0
2017-08-21 10:47:58.769999872,2.9
2017-08-21 10:49:03.274000384,3.0
2017-08-21 10:50:07.512999936,2.9
2017-08-21 10:51:12.499000320,2.8
2017-08-21 10:52:17.005000192,2.9
2017-08-21 10:53:21.527000064,2.9
2017-08-21 10:53:54.463000064,2.8
2017-08-21 10:54:58.694999552,2.9
2017-08-21 10:56:03.449999872,2.9
2017-08-21 10:57:08.277000192,2.9
2017-08-21 10:58:12.732000256,2.9
